ID,Date,Supplier,Item_or_description,Qty_or_option,Amount_PEN,Target_area,HardwareX_status,BOM_linkage,Evidence_source,Public_notes
PRC-001,2025-05-12,Devota Store / AliExpress,Worm gear set: copper turbine gear with stainless-steel worm shaft,"AWorm-8mm, 50 teeth-8mm",82.45,Arm mechanics,Active / reconcile cost,BOM-001 candidate,Orders.pdf page 1,BOM currently records a different cost; reconcile before final BOM freeze.
PRC-002,2025-05-12,Tootootool Store / AliExpress,Flexible aluminum shaft coupling,2 pcs 8-8mm; order qty 5,29.8,Arm/elevator mechanics,Active / reconcile quantity,BOM-007 candidate,Orders.pdf page 1,Quantity/cost differs from current BOM line; reconcile.
PRC-003,2025-05-12,Baiozraw 2th Store / AliExpress,T8 screw kit / vertical or horizontal lead screw,"KFL08, 550mm",60.52,Elevator mechanics,Active,BOM-033 related,Orders.pdf page 1,Elevator screw/lead support evidence.
PRC-004,2025-05-12,Shop911413572 Store / AliExpress,688ZZ ball bearings,"10 pcs, 8x16x5mm",8.12,Arm mechanics,Active / to classify,New or BOM-006 related,Orders.pdf page 1,Bearing size differs from 6810/AXK lines; classify in final BOM.
PRC-005,2025-05-12,TOP-Choice Store / AliExpress,ACS712 current sensor modules,"4 pcs, 5A",14.22,Electronics,Active,BOM-005 related,Orders.pdf page 1,Current sensing evidence.
PRC-006,2025-05-12,Super 1 Store / AliExpress,Stainless steel rod 304,"500mm, 8mm, 1 pc",29.53,Arm/elevator mechanics,Active / to classify,New or BOM-003 related,Orders.pdf pages 1-2,Classify against shaft/rod line.
PRC-007,2025-04-24,3C Computer Peripheral Store / AliExpress,ESP32 development board,30-pin Type-C,16.52,Electronics / firmware nodes,Active,BOM-019 related,Orders.pdf page 2,ESP32 node evidence.
PRC-008,2025-04-24,HuiShengDongye Store / AliExpress,"LM2596S buck converter, DC-DC 24V/12V to 5V 5A",1 unit,6.41,Power electronics,Active,BOM-020 related,Orders.pdf page 2,Matches documented 5V logic rail converter.
PRC-009,2025-04-24,EXinko Electronics Store / AliExpress,DRV8825 stepper-driver modules,5 pcs DRV8825,20.85,Legacy electronics,Legacy / removed from active design,"Legacy, not final BOM",Orders.pdf page 2,Not part of current public HardwareX active design; retained as historical purchase.
PRC-010,2025-04-24,Baiozraw 2th Store / AliExpress,T8 screw kit / lead screw support,"550mm, KP08",63.42,Elevator mechanics,Active / to reconcile,BOM-033 related,Orders.pdf page 2,May overlap with other T8/KFL08 order; reconcile final quantity.
PRC-011,2025-04-24,SOREKARA PRO / AliExpress,AXK thrust needle bearing,"40x60x3mm, 1 pc",3.89,Arm/elevator mechanics,Active / to classify,BOM-016 related,Orders.pdf page 2,AXK bearing evidence.
PRC-012,2025-04-24,Shop1103886172 Store / AliExpress,Thin-wall deep-groove ball bearings,"6810 ZZ, 50x65x7mm, 2 pcs",26.74,Arm/elevator mechanics,Active,BOM-015 related,Orders.pdf page 2,Bearing evidence.
PRC-013,2025-04-24,BULK-MAN 3D Official Store / AliExpress,OpenBuilds Dual V wheel kit,"625ZZ Nut, 10 sets",56.71,Elevator mechanics,Active / reconcile cost,BOM-035 related,Orders.pdf page 3,Current BOM cost differs; reconcile.
PRC-014,2025-04-24,TriArk Electronic Components Store / AliExpress,PC817C optocouplers,20 pcs,3.6,Electronics,Active,BOM-018 related,Orders.pdf page 3,Optocoupler evidence.
PRC-015,2025-04-24,CAG 222 Store / AliExpress,DRV8871 brushed DC motor-driver breakout boards,5 pcs,70.61,Electronics / arm drivers,Active / reconcile cost,BOM-014 related,Orders.pdf page 3,Current design uses DRV8871 for J1/J4; cost/qty to reconcile.
PRC-016,2025-06-17,tai heng,Tape/marker for sensor fabrication,1 expense line,13.15,Validation / fabrication,To review,New / tooling,Liquidacion gastos 31-03-2025,Classify as consumable or validation material.
PRC-017,2025-06-17,led electrical solutions SAC,Duraflex cable tie / strap,1 expense line,7.0,Cable management,Active / consumable,New / consumable,Liquidacion gastos 31-03-2025,Cable management consumable.
PRC-018,2025-06-17,Inthectronics,CNY70 IR sensor and BTS7960 H-bridge,1 expense line,144.0,Legacy electronics / sensors,To review / partially legacy,Legacy BTS7960,Liquidacion gastos 31-03-2025,BTS7960 not current final driver; CNY70 status unclear.
PRC-019,2025-05-10,SODIMAC,"Nails, sandpaper, screws and adhesives",1 expense line,51.11,Fabrication consumables,Active / consumable,New / consumable,Liquidacion gastos 31-03-2025,Consumables; not necessarily installed BOM.
PRC-020,2025-05-10,SODIMAC,Hand saw,1 expense line,26.9,Tooling,Tool / not installed,Tooling,Liquidacion gastos 31-03-2025,"Tool, not installed component."
PRC-021,2025-05-03,SAWERS,TB6600 driver + NEMA23 motor,1 expense line,140.0,Elevator actuator,Active,BOM-034/BOM-038 related,Liquidacion gastos 31-03-2025,Elevator driver/motor evidence.
PRC-022,2025-05-28,DELFIN PERNOS,"Bolts, washers and screws",1 expense line,53.8,Mechanical fasteners,Active / fasteners,Fasteners table pending,Liquidacion gastos 31-03-2025,Use in hardware/fasteners later.
PRC-023,2025-06-26,SAISAC MECHATRONICS,V-slot 2020 90-degree corner bracket + 6mm rigid flange coupling,1 expense line,50.0,Elevator/mechanical structure,Active,Hardware/fasteners pending,Liquidacion gastos 31-03-2025,Mechanical connection hardware.
PRC-024,2025-05-28,DUCASSE COMERCIAL,61810-2RS deep-groove ball bearing,1 expense line,51.68,Arm/elevator mechanics,Active / to classify,BOM-015 related,Liquidacion gastos 31-03-2025,Bearing evidence; verify exact dimensions.
PRC-025,2025-05-10,SODIMAC,Melamine 18mm + screws + PVC tube,1 expense line,84.18,Prototype structure,To review,BOM-004 related,Liquidacion gastos 31-03-2025,May be tooling/prototype support rather than final installed part.
PRC-026,2025-05-17,SAWERS,"TB6600 driver, NEMA23, ACS sensors, passive components",1 expense line,206.0,Elevator + electronics,Active,BOM-005/BOM-034/BOM-038 related,Liquidacion gastos 31-03-2025,Bundle purchase; split by item if invoices are reviewed.
PRC-027,2025-06-25,ELECTRONICA HI FI,"MCP2515 CAN 2.0B module, 5V operation, SPI interface",1 expense line,26.0,CAN interface,Active,MCP2515 evidence,Liquidacion gastos 31-03-2025,Confirms 5V MCP2515 module detail.
PRC-028,2025-05-21,NAYLAMP MECHATRONICS,MCP2515 module + male header 11mm + shipping,1 expense line,41.0,CAN interface,Active,MCP2515 evidence,Liquidacion gastos 31-03-2025,MCP2515 local purchase evidence.
PRC-029,2025-04-25,Micro DC Motors,DC motors NFP-5840-31ZY-EN and NFP-36GP-555-EN,Bundle,375.666,Arm actuators,Active,BOM-011/BOM-012/BOM-013 related,Liquidacion gastos 31-03-2025,Bundle includes motors/shipping; reconcile split vs BOM.
PRC-030,2025-10-20,SAI SAC MECATRONICA,V-Slot 2020 profiles 70cm x4 and 35cm x2,1 expense line,157.5,Mechanical structure,Active / to reconcile,Hardware/cad/fasteners pending,Tarjeta corporativa liquidation,Likely arm/elevator frame material.
PRC-031,2025-10-30,SAI SAC MECATRONICA,"KP-08 bearing blocks, 6x6 couplings, V-slot 90 brackets, M5 screws and T-nuts",1 expense line,112.0,Mechanical structure,Active / fasteners,Hardware/fasteners pending,Tarjeta corporativa liquidation,Good source for fastener table.
PRC-032,2025-10-30,SAI SAC MECATRONICA,"6mm belt kit, V-slot system, motor pulley, idler pulley, M5x25 screw, spacer, anti-backlash nut, NEMA17, A4988",1 expense line,145.0,Prototype mechanism,To review / partially legacy,Legacy A4988/NEMA17?,Tarjeta corporativa liquidation,May belong to test rig or non-final mechanism; clarify before active BOM.
PRC-033,2025-11-07,SAI SAC MECATRONICA,V-slot 90-degree brackets x10 and universal double L brackets x10,1 expense line,75.0,Mechanical structure,Active / fasteners,Hardware/fasteners pending,Tarjeta corporativa liquidation,Use in fasteners/hardware table.
PRC-034,2025-11-11,SODIMAC,Threaded rod 3/16 x1m and hex nuts 3/16 box x100,1 expense line,19.8,Mechanical fasteners,Active / fasteners,Hardware/fasteners pending,Tarjeta corporativa liquidation,Use in fasteners table if used in final build.
PRC-035,2025-11-19,Electronica INDUTECH S.A.C.,BTS7960 H-bridge driver,1 expense line,50.0,Legacy electronics,Legacy / removed from active design,Not active BOM,Tarjeta corporativa liquidation,BTS7960 not final current driver.
PRC-036,2025-11-27,GRUPO JR SERVICIOS Y FABRICACIONES S.A.C.,Metal part fabrication,1 expense line,100.0,Mechanical fabrication,Active / to classify,Hardware drawings pending,Tarjeta corporativa liquidation,Need identify part and link to CAD/drawing.
PRC-037,2025-11-28,MEDIAWORD STORE,ESP32 and electronic circuit board,1 expense line,54.5,Electronics / firmware nodes,Active / to reconcile,BOM-019 related,Tarjeta corporativa liquidation,Local ESP32/electronics evidence.
PRC-038,2025-12-03,SAI SAC MECATRONICA,BTS7960 H-bridge driver,1 expense line,38.0,Legacy electronics,Legacy / removed from active design,Not active BOM,Tarjeta corporativa liquidation,BTS7960 not final current driver.
